index,sequence,flags,timestamp_valid,frame_ms,dequeue_ms,output_ms,read_ms,copy_ms,dispatch_wait_ms,worker_wait_ms,preprocess_ms,npu_ms,postprocess_ms,gmc_ms,association_ms,read_to_output_ms,frame_to_output_ms,ready_ms,dispatch_ms
10,30,8193,1,1238573.2290000001,1238586.784313,1238611.2318160001,0.38295800000000002,0.29312499985098839,0.00029199989512562752,0.056000000098720193,1.7838339999999999,22.043876999999998,0.19658300000000001,2.5792079999999999,0.016333,24.495626999999999,38.002816000021994,1238587.118855,1238587.1191469999
11,33,8193,1,1238598.2390000001,1238611.369774,1238636.08036,0.45324999999999999,0.32141699991188943,0.00029199989512562752,0.052499999990686774,1.8281670000000001,22.234918,0.197459,2.702,0.016333,24.799544000000001,37.841359999962151,1238611.7337740001,1238611.734066
12,36,8193,1,1238623.2590000001,1238636.182735,1238660.8828209999,0.36866599999999999,0.27824999997392297,0.00029199989512562752,0.053666000021621585,1.781792,22.271668999999999,0.19454199999999999,2.5296249999999998,0.013417,24.749669000000001,37.623820999870077,1238636.50211,1238636.5024019999
13,39,8193,1,1238648.2279999999,1238661.0169869999,1238685.8357820001,0.42845800000000001,0.29720900021493435,0.00029200012795627117,0.052791999885812402,1.7794589999999999,22.405835,0.19629199999999999,2.685667,0.014291999999999999,24.908335999999998,37.607782000210136,1238661.355612,1238661.3559040001
14,42,8193,1,1238673.2590000001,1238685.9331980001,1238710.2030760001,0.386459,0.29049999988637865,0.00029099988751113415,0.056000000098720193,1.803375,21.805002000000002,0.198625,2.7836660000000002,0.013417,24.324711000000001,36.94407600001432,1238686.2645320001,1238686.2648229999
15,45,8193,1,1238698.2579999999,1238710.332867,1238735.05162,0.41825000000000001,0.28991699987091124,0.00029200012795627117,0.011082999873906374,1.787042,22.359752,0.198042,2.5622919999999998,0.016334000000000001,24.806543999999999,36.793620000127703,1238710.663617,1238710.6639090001
16,48,8193,1,1238723.2320000001,1238735.1881200001,1238759.028372,0.38062499999999999,0.29108299990184605,0.00029099988751113415,0.054834000067785382,1.827,21.361668000000002,0.199209,2.694709,0.0078750000000000001,23.888376999999998,35.7963719998952,1238735.5206200001,1238735.520911
17,51,8193,1,1238748.2579999999,1238759.1456220001,1238786.387875,0.42933300000000002,0.3042089999653399,0.00029199989512562752,2.6273330000694841,1.80775,22.230252,0.19570799999999999,2.5815419999999998,0.017791999999999999,27.325377,38.129875000100583,1238759.4915390001,1238759.491831
18,54,8193,1,1238773.223,1238786.484125,1238810.578711,0.38733299999999998,0.29954200005158782,0.0002910001203417778,0.055124999955296516,1.797542,21.624461,0.19687499999999999,2.6553330000000002,0.013125,24.140668999999999,37.355711000040174,1238786.8256669999,1238786.825958
19,57,8193,1,1238798.2520000001,1238810.7050020001,1238835.1770049999,0.44624999999999998,0.31908399984240532,0.00029200012795627117,0.054540999932214618,1.8025,22.025210999999999,0.19658300000000001,2.6305420000000002,0.016625000000000001,24.557461,36.925004999851808,1238811.0657939999,1238811.0660860001
20,60,8193,1,1238823.264,1238835.27413,1238859.338674,0.392291,0.30099999997764826,0.00029200012795627117,0.054250000044703484,1.8293330000000001,21.576919,0.19454099999999999,2.7326250000000001,0.0084580000000000002,24.114127,36.074674000032246,1238835.6171299999,1238835.617422
21,63,8193,1,1238848.26,1238859.463216,1238883.9168430001,0.46987499999999999,0.34066600003279746,0.00058300001546740532,0.01195800001733005,1.8001670000000001,21.986127,0.193666,2.7305830000000002,0.0093329999999999993,24.541126999999999,35.656843000091612,1238859.845591,1238859.8461740001
22,66,8193,1,1238873.2579999999,1238884.0002599999,1238908.490637,0.38995800000000003,0.29954100004397333,0.00029200012795627117,0.050165999913588166,1.805417,22.021128000000001,0.19629199999999999,2.668167,0.013416000000000001,24.540251999999999,35.232637000037357,1238884.3403429999,1238884.340635
23,69,8193,1,1238898.26,1238908.623346,1238932.745931,0.43137500000000001,0.29866600013338029,0.00029200012795627117,0.055416999850422144,1.8001670000000001,21.658002,0.19395799999999999,2.7632509999999999,0.013416000000000001,24.212419000000001,34.485930999973789,1238908.9648869999,1238908.965179
24,72,8193,1,1238923.25,1238932.8410149999,1238957.499392,0.38179200000000002,0.29050000011920929,0.00029099988751113415,0.010209000203758478,1.8226249999999999,22.220044000000001,0.198625,2.7104590000000002,0.013417,24.708544,34.249392000027001,1238933.17264,1238933.1729309999
25,75,8193,1,1238948.26,1238957.627142,1238981.484895,0.39783299999999999,0.27183400001376867,0.00029200012795627117,0.054250000044703484,1.8086249999999999,21.455584999999999,0.19395899999999999,2.7270829999999999,0.017208999999999999,23.942336000000001,33.224894999992102,1238957.9403919999,1238957.940684
26,78,8193,1,1238973.254,1238981.5761859999,1239006.2969800001,0.42875000000000002,0.34183400007896125,0,0.048999999882653356,1.837208,22.182127999999999,0.19658400000000001,2.7116250000000002,0.0075839999999999996,24.766584999999999,33.042980000143871,1238981.9594360001,1238981.9594360001
27,81,8193,1,1238998.2679999999,1239006.418022,1239030.5414829999,0.41504200000000002,0.28554200008511543,0.0002910001203417778,0.055416999850422144,1.801917,21.663834999999999,0.19658300000000001,2.6844999999999999,0.01225,24.210961000000001,32.273482999997213,1239006.745564,1239006.7458550001
28,84,8193,1,1239023.2209999999,1239030.7027739999,1239055.1960690001,0.38441700000000001,0.29108400014229119,0.00029099988751113415,0.055417000083252788,1.8138749999999999,22.020835999999999,0.19512499999999999,2.7177500000000001,0.012541999999999999,24.546378000000001,31.975069000152871,1239031.0344,1239031.0346909999
29,86,8193,1,1239039.8910000001,1239055.2856099999,1239079.7789040001,0.41416700000000001,0.32404200010932982,0.0002910001203417778,0.055124999955296516,1.8232090000000001,21.972709999999999,0.19716700000000001,2.6906249999999998,0.013125,24.540251999999999,39.887904000002891,1239055.652819,1239055.6531100001
30,89,8193,1,1239064.926,1239079.9142380001,1239104.573199,0.46754099999999998,0.33395799994468689,0.00029200012795627117,0.063874999992549419,1.806875,22.137794,0.19745799999999999,2.6308340000000001,0.013125,24.749669000000001,39.647198999999091,1239080.2907789999,1239080.291071
31,92,8193,1,1239089.9350000001,1239104.663615,1239127.7913259999,0.41387499999999999,0.32520899991504848,0.00029200012795627117,0.065332999918609858,1.8305,20.593126999999999,0.19687499999999999,2.7250420000000002,0.012833000000000001,23.175543999999999,37.856325999833643,1239105.029657,1239105.0299490001
32,95,8193,1,1239114.936,1239127.919951,1239152.675453,1.1112500000000001,0.98058299999684095,0.00058400002308189869,0.061540999915450811,1.806875,21.590917999999999,0.19716700000000001,2.6261670000000001,0.013417,24.842419,37.73945300001651,1239128.944284,1239128.944868
33,98,8193,1,1239139.933,1239152.7667449999,1239179.9063309999,0.454125,0.36341700004413724,0.0002910001203417778,2.6398759998846799,1.8191250000000001,22.041834999999999,0.197459,2.6069170000000002,0.016333,27.188877000000002,39.973330999957398,1239153.1712869999,1239153.1715780001
34,101,8193,1,1239164.926,1239180.0334979999,1239204.6250839999,0.479792,0.352625000057742,0.00029199989512562752,0.053375000134110451,1.8097909999999999,22.059335999999998,0.19745799999999999,2.8221660000000002,0.013417,24.676753000000001,39.699083999963477,1239180.4281230001,1239180.428415
35,104,8193,1,1239189.9280000001,1239204.7157920001,1239229.123044,0.38674999999999998,0.29458300000987947,0,0.056000000098720193,1.8249580000000001,21.913209999999999,0.198625,2.753625,0.013125,24.456835000000002,39.195043999934569,1239205.052959,1239205.052959
36,107,8193,1,1239214.9269999999,1239229.2510859999,1239254.059964,0.449459,0.32287500007078052,0.00029099988751113415,0.054834000067785382,1.815042,22.298794000000001,0.19629199999999999,2.7827920000000002,0.016042000000000001,24.893753,39.132964000105858,1239229.6153780001,1239229.615669
37,110,8193,1,1239239.926,1239254.1489220001,1239279.072716,0.45383400000000002,0.3634169998113066,0.0002910001203417778,0.054833999834954739,1.810084,22.384252,0.19395799999999999,2.6827510000000001,0.013125,24.971336000000001,39.146716000046581,1239254.5552139999,1239254.5555050001
38,113,8193,1,1239264.8899999999,1239279.205424,1239306.264802,0.487375,0.35641700006090105,0.00029200012795627117,2.6264589999336749,1.821167,21.985544000000001,0.199791,2.5923340000000001,0.014291,27.149502999999999,41.374802000122145,1239279.602674,1239279.6029660001
39,117,8193,1,1239298.2649999999,1239306.385552,1239332.067388,0.45616699999999999,0.33133399998769164,0,2.7069580000825226,1.801042,20.563960000000002,0.19775000000000001,2.625292,0.0081659999999999996,25.763210999999998,33.802388000069186,1239306.760636,1239306.760636
40,120,8193,1,1239323.2709999999,1239332.1592629999,1239356.9060160001,0.36604199999999998,0.2765000001527369,0.00029099988751113415,0.053375000134110451,1.7887919999999999,22.360043999999998,0.19745799999999999,2.7854169999999998,0.014,24.795753000000001,33.635016000131145,1239332.476305,1239332.4765959999
41,123,8193,1,1239348.26,1239357.040182,1239381.431685,0.42583300000000002,0.30158400000073016,0.00029199989512562752,0.054542000172659755,1.827,21.945001999999999,0.19687499999999999,2.7022919999999999,0.013708,24.474919,33.17168499995023,1239357.382307,1239357.3825989999
42,126,8193,1,1239373.237,1239381.530851,1239406.2373540001,0.45470899999999997,0.36895900010131299,0,0.050749999936670065,1.824959,22.181836000000001,0.19629099999999999,2.7897919999999998,0.013125,24.750836,33.000354000134394,1239381.9409350001,1239381.9409350001
43,129,8193,1,1239398.226,1239406.362187,1239430.984106,0.49145800000000001,0.36225000000558794,0.0002910001203417778,0.055708999978378415,1.7955000000000001,22.089086000000002,0.19687499999999999,2.9163749999999999,0.012834,24.707084999999999,32.758106000022963,1239406.768771,1239406.7690620001
44,132,8193,1,1239423.2609999999,1239431.070148,1239455.829442,0.42291699999999999,0.3362920000217855,0.00058300001546740532,0.05629199999384582,1.841,22.215668999999998,0.19337499999999999,2.776958,0.013125,24.803336000000002,32.568442000076175,1239431.4493150001,1239431.4498980001
45,135,8193,1,1239448.2279999999,1239455.9662339999,1239480.7940700001,0.47279100000000002,0.34095800016075373,0.00029199989512562752,0.010500000091269612,1.8386670000000001,22.356836000000001,0.19512499999999999,2.6941250000000001,0.013417,24.917669,32.566070000175387,1239456.349192,1239456.3494839999
46,138,8193,1,1239473.27,1239480.882153,1239505.2141549999,0.36166700000000002,0.27329199993982911,0.0002910001203417778,0.054250000044703484,1.810959,21.878502000000001,0.19512499999999999,2.6760419999999998,0.013416000000000001,24.379252000000001,31.944154999917373,1239481.1965699999,1239481.196861
47,140,8193,1,1239489.929,1239505.3028220001,1239528.6554080001,0.40804200000000002,0.31908399984240532,0.00029099988751113415,0.05220900010317564,1.831958,20.878959999999999,0.198625,2.7270829999999999,0.013708,23.398669000000002,38.726408000104129,1239505.664781,1239505.6650719999
48,143,8193,1,1239514.9269999999,1239528.826325,1239554.107994,0.40804099999999999,0.2785409998614341,0.00029199989512562752,0.75833300012163818,1.778,22.206336,0.19775000000000001,4.5467919999999999,0.0078750000000000001,25.369751999999998,39.180994000053033,1239529.146283,1239529.1465749999
49,146,8193,1,1239539.9280000001,1239554.1943270001,1239578.9521629999,0.43604100000000001,0.34591699996963143,0.00029200012795627117,0.05133299995213747,1.8220419999999999,22.278960999999999,0.19891600000000001,2.7547920000000001,0.0052500000000000003,24.806543999999999,39.024162999819964,1239554.5816599999,1239554.581952
50,149,8193,1,1239564.9310000001,1239579.0968299999,1239602.9685819999,0.43254199999999998,0.30829100008122623,0.0002910001203417778,0.011375000001862645,1.7885,21.449169000000001,0.19629199999999999,2.7574169999999998,0.0081670000000000006,23.956043999999999,38.037581999786198,1239579.44508,1239579.4453710001
51,152,8193,1,1239589.9280000001,1239603.051124,1239627.773084,0.40629100000000001,0.31470800004899502,0.00029200012795627117,0.054832999827340245,1.815042,22.216252000000001,0.19658400000000001,2.743709,0.013416000000000001,24.770959999999999,37.845083999913186,1239603.408415,1239603.4087070001
52,155,8193,1,1239614.9310000001,1239627.9043340001,1239652.8190870001,0.48970900000000001,0.35612599994055927,0.00029200012795627117,0.054250000044703484,1.8057080000000001,22.415461000000001,0.19716700000000001,2.7997079999999999,0.013708,25.005752999999999,37.888086999999359,1239628.3030429999,1239628.3033350001
53,158,8193,1,1239639.9280000001,1239652.9074619999,1239677.579839,0.422041,0.33191700000315905,0,0.056000000098720193,1.7885009999999999,22.174835000000002,0.19512499999999999,2.814584,0.013416000000000001,24.71846,37.651838999940082,1239653.28342,1239653.28342
54,161,8193,1,1239664.929,1239677.7084639999,1239701.951509,0.487375,0.35700100008398294,0.00029199989512562752,0.055417000083252788,1.814459,21.695627000000002,0.19833300000000001,2.76675,0.013417,24.331128,37.022509000031278,1239678.107756,1239678.1080479999
55,164,8193,1,1239689.929,1239702.042509,1239726.3648860001,0.42525000000000002,0.33599999989382923,0.00029199989512562752,0.054540999932214618,1.8223339999999999,21.794502000000001,0.19775000000000001,2.7022919999999999,0.013417,24.369043999999999,36.435886000050232,1239702.4210920001,1239702.421384
56,167,8193,1,1239714.9299999999,1239726.5568029999,1239753.878972,0.47191699999999998,0.33162500010803342,0.0002910001203417778,2.6579589999746531,1.804834,22.254460000000002,0.19775000000000001,2.623542,0.018374999999999999,27.420461,38.948972000041977,1239726.9304279999,1239726.9307190001
57,170,8193,1,1239739.8910000001,1239754.0157639999,1239781.3178079999,0.40279199999999998,0.31325000012293458,0.00029199989512562752,2.9280419999267906,1.808333,21.988752999999999,0.19629099999999999,2.7585829999999998,0.0075839999999999996,27.350753000000001,41.426807999843732,1239754.3698470001,1239754.370139
58,174,8193,1,1239773.2250000001,1239781.494558,1239806.0581439999,0.46229100000000001,0.29779199999757111,0.00029199989512562752,0.053667000029236078,1.788791,22.165794000000002,0.19570899999999999,2.8516249999999999,0.0058329999999999996,24.687252000000001,32.833143999800086,1239781.8331830001,1239781.833475
59,177,8193,1,1239798.2649999999,1239806.122311,1239830.33473,0.35262500000000002,0.30420799995772541,0,0.053959000157192349,1.8007500000000001,21.792169000000001,0.19658400000000001,2.824792,0.0072919999999999999,24.218253000000001,32.069730000104755,1239806.4691019999,1239806.4691019999
60,179,8193,1,1239814.9310000001,1239830.4362300001,1239855.1272740001,0.39754200000000001,0.31324999989010394,0.00029099988751113415,0.053084000013768673,1.7879160000000001,22.278960999999999,0.19629199999999999,2.7900830000000001,0.0070000000000000001,24.735669000000001,40.19627399998717,1239830.7891470001,1239830.7894379999
61,182,8193,1,1239839.9310000001,1239855.268441,1239879.3268599999,0.43283300000000002,0.30479099997319281,0.00029199989512562752,0.053375000134110451,1.8229169999999999,21.621835000000001,0.19570799999999999,2.7725840000000002,0.0055420000000000001,24.144169000000002,39.395859999815002,1239855.615524,1239855.6158159999
62,185,8193,1,1239864.9339999999,1239879.4035680001,1239904.1071540001,0.36312499999999998,0.27737499983049929,0.00029099988751113415,0.0093340000603348017,1.8194170000000001,22.280418999999998,0.19745799999999999,2.7037499999999999,0.012833000000000001,24.748794,39.173154000192881,1239879.7214850001,1239879.721776
63,188,8193,1,1239889.939,1239904.2404459999,1239928.15974,0.49233300000000002,0.35729100019671023,0,0.055708000203594565,1.806,21.385002,0.19775000000000001,2.7466249999999999,0.013709000000000001,24.012043999999999,38.22074000001885,1239904.6400289999,1239904.6400289999
64,191,8193,1,1239914.9099999999,1239928.2574479999,1239955.178576,0.39666699999999999,0.3010000002104789,0.00029099988751113415,2.5608340001199394,1.7946249999999999,21.994585000000001,0.19716700000000001,2.5267080000000002,0.018374999999999999,26.976253,40.268576000118628,1239928.5989900001,1239928.599281
65,194,8193,1,1239939.899,1239955.314492,1239982.5955370001,0.426709,0.30012500006705523,0.00029099988751113415,2.7565419999882579,1.799876,22.109210000000001,0.19745799999999999,2.6737090000000001,0.013417,27.364753,42.696537000127137,1239955.657201,1239955.6574919999
66,198,8193,1,1239973.243,1239982.7332029999,1240007.3901229999,0.46579199999999998,0.33279200014658272,0.0002910001203417778,0.010208999970927835,1.7858750000000001,22.250959999999999,0.19600000000000001,2.7886250000000001,0.022166999999999999,24.749085999999998,34.147122999886051,1239983.1068289999,1239983.1071200001
67,201,8193,1,1239998.263,1240007.472664,1240032.406958,0.42904100000000001,0.34095899993553758,0.00058399979025125504,0.050458000041544437,1.8275840000000001,22.405543000000002,0.19833400000000001,2.7130830000000001,0.0078750000000000001,24.979209999999998,34.143958000000566,1240007.8567890001,1240007.8573729999
68,204,8193,1,1240023.2660000001,1240032.530333,1240059.9274609999,0.43429200000000001,0.30187599989585578,0.00029199989512562752,2.7265000001061708,1.7984169999999999,22.253294,0.19716600000000001,2.692958,0.0090410000000000004,27.488128,36.661460999865085,1240032.873625,1240032.8739169999
69,207,8193,1,1240048.264,1240060.0111700001,1240084.6071299999,0.42349999999999999,0.33220799989067018,0.00029099988751113415,0.056000000098720193,1.8138749999999999,22.077418999999999,0.19658300000000001,2.7469169999999998,0.013125,24.645835000000002,36.343129999935627,1240060.3847950001,1240060.385086
70,210,8193,1,1240073.273,1240084.74013,1240109.5618410001,0.49175000000000002,0.35641700006090105,0.00029199989512562752,0.054250000044703484,1.8290420000000001,22.257377000000002,0.20125000000000001,2.6999590000000002,0.013708,24.914460999999999,36.28884100005962,1240085.13913,1240085.1394219999
71,213,8193,1,1240098.2660000001,1240109.65255,1240134.0233440001,0.43924999999999997,0.35000000009313226,0.00029200012795627117,0.05716599989682436,1.815917,21.825710999999998,0.19891600000000001,2.734667,0.013417,24.416585999999999,35.757344000041485,1240110.0460079999,1240110.0463
72,216,8193,1,1240123.263,1240134.1505100001,1240158.4653040001,0.44770799999999999,0.32287499983794987,0.00029199989512562752,0.054833000060170889,1.8194170000000001,21.805002000000002,0.19600000000000001,2.799417,0.013125,24.398209999999999,35.202304000034928,1240134.514802,1240134.5150939999
73,219,8193,1,1240148.2250000001,1240158.5600960001,1240183.224015,0.38179200000000002,0.2960419999435544,0.00029199989512562752,0.053666000021621585,1.7995840000000001,22.234919000000001,0.19804099999999999,2.839375,0.026834,24.709128,34.999014999950305,1240158.8963880001,1240158.89668
74,222,8193,1,1240173.2649999999,1240183.343015,1240207.998476,0.49204199999999998,0.3695420001167804,0.00029099988751113415,0.05016699992120266,1.8278749999999999,22.136918999999999,0.19279199999999999,2.7025830000000002,0.0075830000000000003,24.737127000000001,34.73347600013949,1240183.7530990001,1240183.75339
75,225,8193,1,1240198.264,1240208.088309,1240232.8604369999,0.43895899999999999,0.34854199993424118,0.00029099988751113415,0.054541999939829111,1.854417,22.246586000000001,0.19629199999999999,2.7591670000000001,0.014874999999999999,24.821128000000002,34.596436999971047,1240208.4782680001,1240208.478559
76,228,8193,1,1240223.264,1240232.9913949999,1240257.132648,0.46987499999999999,0.34475000016391277,0.00029199989512562752,0.054833000060170889,1.7911250000000001,21.679293999999999,0.19775000000000001,2.7956259999999999,0.016042000000000001,24.224086,33.868648000061512,1240233.3784370001,1240233.378729
77,231,8193,1,1240248.267,1240257.226273,1240281.785775,0.39900000000000002,0.31412500003352761,0.00029200012795627117,0.053957999916747212,1.786751,22.138669,0.19716700000000001,2.8457919999999999,0.015459000000000001,24.603543999999999,33.518775000004098,1240257.5812309999,1240257.581523
78,234,8193,1,1240273.263,1240281.922859,1240306.478569,0.48941699999999999,0.36341600003652275,0.00029099988751113415,0.049292000010609627,1.840708,21.992836,0.19045899999999999,2.7186249999999998,0.012833000000000001,24.640001999999999,33.215568999992684,1240282.3279840001,1240282.328275
79,237,8193,1,1240298.264,1240306.5719029999,1240330.9739049999,0.441583,0.34883300005458295,0.00029199989512562752,0.055707999970763922,1.804834,21.880544,0.191334,2.6751670000000001,0.013125,24.453918999999999,32.709904999937862,1240306.961569,1240306.9618609999
80,240,8193,1,1240323.264,1240331.098738,1240354.1019069999,0.44624999999999998,0.3211260000243783,0.00029200012795627117,0.055707999970763922,1.8290420000000001,20.478210000000001,0.19629099999999999,2.7661669999999998,0.013416000000000001,23.085709999999999,30.837906999979168,1240331.462447,1240331.4627390001
81,241,8193,1,1240331.598,1240354.148574,1240377.4766599999,0.37741599999999997,0.33045800006948411,0.00029199989512562752,0.05629199999384582,1.8080419999999999,20.814209999999999,0.19687499999999999,2.715125,0.013417,23.332169,45.878659999929368,1240354.5219070001,1240354.522199
82,245,8193,1,1240364.9310000001,1240377.603535,1240402.2277869999,0.47162500000000002,0.34562500007450581,0.00029199989512562752,0.056583000114187598,1.815625,22.090252,0.19512499999999999,2.7454589999999999,0.013125,24.709126999999999,37.296786999795586,1240377.9902850001,1240377.990577
83,248,8193,1,1240389.9310000001,1240402.367787,1240429.5963320001,0.39550000000000002,0.30070900009013712,0.00029099988751113415,2.6737089999951422,1.8092079999999999,22.122336000000001,0.19891600000000001,2.5768749999999998,0.013709000000000001,27.282211,39.665332000004128,1240402.7096210001,1240402.709912
84,251,8193,1,1240414.9310000001,1240429.7252479999,1240454.4466260001,0.466667,0.33833400020375848,0,0.054833000060170889,1.8030839999999999,22.206627999999998,0.19658400000000001,2.7620840000000002,0.013125,24.807711000000001,39.515626000007614,1240430.105582,1240430.105582
85,254,8193,1,1240439.899,1240454.5352930001,1240479.119587,0.43195899999999998,0.34270799998193979,0.00029099988751113415,0.057750000152736902,1.807458,22.063711000000001,0.19483400000000001,2.7962090000000002,0.013417,24.631253000000001,39.220587000017986,1240454.9202930001,1240454.9205839999
86,257,8193,1,1240464.895,1240479.2578370001,1240504.116589,0.49029099999999998,0.35554099990986288,0.00029200012795627117,0.015167000005021691,1.819709,22.353918,0.19425000000000001,2.7162920000000002,0.013125,24.952376999999998,39.221588999964297,1240479.654503,1240479.6547950001
87,260,8193,1,1240489.9310000001,1240504.2096309999,1240528.9887580001,0.45237500000000003,0.35904200002551079,0.00029200012795627117,0.054540999932214618,1.782667,22.267876999999999,0.19891700000000001,2.8516249999999999,0.013416000000000001,24.831043999999999,39.057757999980822,1240504.610381,1240504.6106730001
88,263,8193,1,1240514.9399999999,1240529.122925,1240555.2160110001,0.44012499999999999,0.30683299992233515,0.00029099988751113415,2.7650010001379997,1.8089170000000001,20.928834999999999,0.198042,2.7302919999999999,0.012833000000000001,26.185251999999998,40.27601100015454,1240529.4705920001,1240529.4708829999
89,266,8193,1,1240539.9310000001,1240555.313136,1240579.803513,0.421458,0.32462500012479722,0,0.053374999901279807,1.7858750000000001,22.004792999999999,0.19775000000000001,2.8446250000000002,0.013125,24.545210000000001,39.872512999922037,1240555.6800530001,1240555.6800530001
90,269,8193,1,1240564.932,1240579.941472,1240603.641141,0.45325100000000001,0.31558299995958805,0,0.053667000029236078,1.7873330000000001,21.262794,0.19541700000000001,2.8355839999999999,0.014,23.795628000000001,38.709140999941155,1240580.2990550001,1240580.2990550001
91,272,8193,1,1240589.8910000001,1240603.739141,1240628.390227,0.38966699999999999,0.29341699997894466,0.0002910001203417778,0.052791999885812402,1.774208,22.213336000000002,0.19658400000000001,2.7970830000000002,0.013417,24.706211,38.499226999934763,1240604.0736829999,1240604.0739740001
92,275,8193,1,1240614.9029999999,1240628.5208930001,1240653.1556460001,0.47862500000000002,0.34766700002364814,0.00029200012795627117,0.055124999955296516,1.792001,22.119418,0.19629199999999999,2.901208,0.013708,24.723127999999999,38.252646000124514,1240628.9114349999,1240628.911727
93,278,8193,1,1240639.9199999999,1240653.2553960001,1240677.8116899999,0.40629199999999999,0.30595799977891147,0,0.055708000203594565,1.7887919999999999,22.086169000000002,0.19833300000000001,2.8072919999999999,0.013708,24.614919,37.891689999960363,1240653.6030629999,1240653.6030629999
94,281,8193,1,1240664.9310000001,1240677.9411899999,1240702.8655669999,0.47425,0.34358300012536347,0.00029099988751113415,0.055708999978378415,1.8022089999999999,22.402626999999999,0.19658400000000001,2.7781250000000002,0.013125,25.01071,37.934566999785602,1240678.329107,1240678.3293979999
95,284,8193,1,1240689.933,1240702.9554010001,1240727.0114869999,0.42029100000000003,0.33133299998007715,0.00029200012795627117,0.062416999833658338,1.79375,21.586544,0.19658300000000001,2.7854160000000001,0.013417,24.103044000000001,37.078486999962479,1240703.328734,1240703.3290260001
96,287,8193,1,1240714.932,1240727.1450700001,1240750.597114,0.436917,0.30274999979883432,0.00029200012795627117,0.056582999881356955,1.778875,20.992127,0.198625,2.938542,0.013708,23.543336,35.665113999973983,1240727.4906949999,1240727.4909870001
97,290,8193,1,1240739.932,1240750.6904470001,1240775.3077,0.45441700000000002,0.36049999995157123,0,0.054833999834954739,1.7850010000000001,22.098710000000001,0.19570799999999999,2.9507919999999999,0.013125,24.668293999999999,35.375699999975041,1240751.0938220001,1240751.0938220001
98,293,8193,1,1240764.898,1240775.4339910001,1240800.0104110001,0.45791700000000002,0.33133399998769164,0.00029099988751113415,0.051042000064626336,1.8007500000000001,22.112711000000001,0.203292,2.8627090000000002,0.01925,24.660128,35.112411000067368,1240775.8082000001,1240775.808491
