index,sequence,flags,timestamp_valid,frame_ms,dequeue_ms,output_ms,read_ms,copy_ms,dispatch_wait_ms,worker_wait_ms,preprocess_ms,npu_ms,postprocess_ms,gmc_ms,association_ms,read_to_output_ms,frame_to_output_ms,ready_ms,dispatch_ms
0,0,8193,1,1238323.2590000001,1238330.6417459999,1238358.392374,109.289844,0.96600000001490116,0.00058300001546740532,2.6585419999901205,2.2933759999999999,21.505461,0.19570799999999999,2.4981249999999999,0.018374999999999999,136.02634699999999,35.133373999968171,1238331.6558709999,1238331.6564539999
1,3,8193,1,1238348.257,1238358.5697069999,1238387.4835020001,1.0917079999999999,0.96133300010114908,0.00029199989512562752,3.6175420000217855,1.8471249999999999,22.220044000000001,0.19425000000000001,3.5314999999999999,0.015167,29.001294999999999,39.2265020001214,1238359.5739150001,1238359.574207
2,6,8193,1,1238373.2579999999,1238387.6138770001,1238412.9197539999,1.1083339999999999,1.0170409998390824,0.0002910001203417778,0.016041999915614724,1.803958,22.153544,0.19570899999999999,3.0884580000000001,0.0096249999999999999,25.351085999999999,39.661754000000656,1238388.6770019999,1238388.677293
3,9,8193,1,1238398.26,1238413.0410869999,1238437.935423,0.49554100000000001,0.36720900004729629,0.00058400002308189869,0.054541000165045261,1.8237920000000001,22.338751999999999,0.19454199999999999,2.711042,0.010208,24.979502,39.675423000007868,1238413.4514619999,1238413.4520459999
4,12,8193,1,1238423.2560000001,1238438.0179649999,1238462.4246340001,0.38033400000000001,0.292250000173226,0.0002910001203417778,0.055708999978378415,1.825834,21.963668999999999,0.19687499999999999,2.6952919999999998,0.014291,24.453336,39.168634000001475,1238438.3516319999,1238438.3519230001
5,15,8193,1,1238448.2239999999,1238462.5634669999,1238487.202303,0.43487500000000001,0.30333400005474687,0.00029200012795627117,0.021874999860301614,1.7987089999999999,22.240752000000001,0.19687499999999999,2.597,0.018667,24.728669,38.978303000098094,1238462.908509,1238462.9088010001
6,18,8193,1,1238473.2239999999,1238487.303512,1238511.569014,0.39491700000000002,0.30012500006705523,0.0002910001203417778,0.052791999885812402,1.7940419999999999,21.817544000000002,0.18812499999999999,2.6970420000000002,0.011667,24.317419000000001,38.345014000078663,1238487.6465119999,1238487.646803
7,21,8193,1,1238498.2409999999,1238511.7023060001,1238537.523267,0.43195800000000001,0.30070799984969199,0.00029199989512562752,1.1943750001955777,1.7695419999999999,22.235793999999999,0.19658400000000001,4.6270009999999999,0.012833000000000001,25.911086000000001,39.282267000060529,1238512.043847,1238512.0441389999
8,24,8193,1,1238523.2679999999,1238537.6151419999,1238561.794311,0.42583300000000002,0.33191599999554455,0.00029199989512562752,0.052792000118643045,1.7873330000000001,21.690086000000001,0.198042,2.7641249999999999,0.012834,24.231086000000001,38.526311000110582,1238537.989058,1238537.9893499999
9,27,8193,1,1238548.2290000001,1238561.9232270001,1238586.676397,0.42758299999999999,0.3030419999267906,0.00029200012795627117,0.053374999901279807,1.778875,22.290336,0.20300000000000001,2.6716669999999998,0.012833000000000001,24.837461000000001,38.447396999923512,1238562.2662269999,1238562.2665190001
